1.849508285522460938e-02,3.300931453704833984e-01,6.593689918518066406e-01
6.144120693206787109e-01,1.045172715187072754e+01,2.047163414955139160e+01
8.748691082000732422e-01,1.508487415313720703e+01,2.918343877792358398e+01
1.047749042510986328e+00,1.865254116058349609e+01,3.605219697952270508e+01
1.212081193923950195e+00,2.042133092880249023e+01,4.119260692596435547e+01
1.452890157699584961e+00,2.357122611999511719e+01,4.830267691612243652e+01
1.418031215667724609e+00,2.530973601341247559e+01,5.095424413681030273e+01
1.668365955352783203e+00,2.730346012115478516e+01,5.479110407829284668e+01
2.084884881973266602e+00,2.889869475364685059e+01,5.785921406745910645e+01
1.938497066497802734e+00,3.095892286300659180e+01,5.987233304977416992e+01
